id,title,topics_from_ner
6560427,Understanding the Properties of Starch in Potatoes (Solanum tuberosum var. Agria) after Being Treated with Pulsed Electric Field Processing,"chemical compound, 0.1840
chemical substance, 0.1815
materials science, 0.1788
process, 0.1778
pharmacology, 0.1775
protein, 0.1762
interruption science, 0.1740"
6570029,The economic value of mussel farming for uncertain nutrient removal in the Baltic Sea,"concept, 0.1826
abstract object, 0.1686
project, 0.1677
statistics, 0.1651
mathematical concept, 0.1650
philosophical concept, 0.1643
music genre, 0.1638"
6571617,"DRB1, DRB2 and DRB4 Are Required for Appropriate Regulation of the microRNA399/PHOSPHATE2 Expression Module in Arabidopsis thaliana","specialty, 0.1987
process, 0.1936
economic branch, 0.1925
biological process, 0.1916
intentional human action, 0.1913
classification system, 0.1913
psychology, 0.1902"
6587683,"Effects of Winter Cover Crops on Rice Pests, Natural Enemies, and Grain Yield in a Rice Rotation System","agriculture, 0.1976
pharmacology, 0.1935
botany, 0.1913
biology, 0.1902
silviculture, 0.1898
pedology, 0.1880
business administration, 0.1868"
6630288,"Waterlogging Causes Early Modification in the Physiological Performance, Carotenoids, Chlorophylls, Proline, and Soluble Sugars of Cucumber Plants","biological process, 0.1901
process, 0.1891
chemical compound, 0.1842
carbon, 0.1816
sucrose catabolic process via 3'-ketosucrose, 0.1806
glucose metabolic process, 0.1792
glucose transmembrane transport, 0.1790"
6630593,Role of Silicon in Mediating Salt Tolerance in Plants: A Review,"chemistry, 0.2149
chemical compound, 0.2109
chemical substance, 0.2077
biological process, 0.2068
protein, 0.2051
water, 0.1990
chemical element, 0.1989"
6630798,Responses of Tomato Plants under Saline Stress to Foliar Application of Copper Nanoparticles,"base material, 0.1958
materials science, 0.1936
medication, 0.1897
food ingredient, 0.1877
chemical compound, 0.1863
pharmacology, 0.1860
process, 0.1851"
6681330,Expression of miR159 Is Altered in Tomato Plants Undergoing Drought Stress,"biological process, 0.2150
RNA, 0.2126
social organism behavior, 0.2025
RNA transport, 0.2021
RNA metabolic process, 0.2002
RNA catabolic process, 0.1999
RNA biosynthetic process, 0.1999"
6681344,"The NAC Protein from Tamarix hispida, ThNAC7, Confers Salt and Osmotic Stress Tolerance by Increasing Reactive Oxygen Species Scavenging Capability","cell, 0.1828
chemical compound, 0.1809
biological process, 0.1782
molecular function, 0.1778
cell type, 0.1745
mixture, 0.1743
cytology, 0.1733"
6681968,"Isolation, cloning and expression of CCA1 gene in transgenic progeny plants of Japonica rice exhibiting altered morphological traits","construction, 0.1861
chemical compound, 0.1843
interaction science, 0.1817
protein, 0.1813
biological process, 0.1811
process, 0.1810
genome, 0.1795"
6724085,Phytolith Formation in Plants: From Soil to Cell,"branch of science, 0.2217
chemistry, 0.2193
science, 0.2151
specialty, 0.2111
biology, 0.2106
software, 0.2106
biochemistry, 0.2106"
6730492,Responses to Hydric Stress in the Seed-Borne Necrotrophic Fungus Alternaria brassicicola,"chemical compound, 0.2248
chemistry, 0.2181
biological process, 0.2100
amino acid, 0.2073
biopolymer, 0.2070
taxon, 0.1999
carbon, 0.1994"
6736833,Soil temperature and hydric potential influences the monthly variations of soil Tuber aestivum DNA in a highly productive orchard,"statistics, 0.1961
taxon, 0.1901
forestry science, 0.1899
botany, 0.1884
process, 0.1883
control, 0.1873
pedology, 0.1866"
